date,open,high,low,close,volume
2024-03-26,21983.043534605076,22194.18885345243,21966.57965854067,22080.38425599655,1687605
2024-03-27,22044.599745233732,22044.599745233732,21738.672158947917,21864.950752243283,2199152
2024-03-28,21895.578206601414,22324.15819576869,21762.29956182901,22043.22887879885,2059238
2024-03-29,22035.70503199797,22405.62044562162,22035.70503199797,22265.8825419109,2219539
2024-04-01,22217.597964717595,22217.597964717595,21706.455426855864,21845.52739291344,2967999
2024-04-02,21796.43230357595,21796.43230357595,21455.81928761021,21572.555203072294,2429241
2024-04-03,21521.3321009215,21778.727997192334,21448.93272584155,21613.830361516943,1543411
2024-04-04,21550.46512179976,21653.796421567316,21460.601080595203,21557.19875108126,1602570
2024-04-05,21721.1507957894,21930.331704505938,21203.27282368734,21566.80226409664,1421612
2024-04-08,21588.190138908772,21588.190138908772,21274.735664819094,21389.820264480753,2069169
2024-04-09,21453.045653786146,21824.845627865263,21377.99516697219,21601.420397418726,2202413
2024-04-10,21566.204504099587,21844.937157389268,21566.204504099587,21793.66187715201,2120679
2024-04-11,21780.152953997374,22133.717120854806,21512.313552473788,21823.015336664295,1496430
2024-04-12,21771.109005067687,22203.059932536216,21771.109005067687,22104.403085981292,2448961
2024-04-15,21909.02165297626,22411.297811388857,21909.02165297626,22231.974945075985,1862695
2024-04-16,22129.855386019437,22319.420658936775,21754.118178215434,22036.769418576103,2117278
2024-04-17,21903.768797390454,22300.560318692704,21903.768797390454,22142.50267587118,1782262
2024-04-18,21976.449864793096,21976.449864793096,21865.77533228553,21918.74076857332,2228416
2024-04-19,21831.404890296562,22291.35013941958,21831.404890296562,22155.321604493998,2276497
2024-04-22,22253.17100178867,22479.458179003752,21836.35645033146,22157.907314667606,1394306
2024-04-23,22154.625273049565,22222.967474081233,22027.974626149145,22125.47105011519,1506313
2024-04-24,22220.65215398707,22220.65215398707,21955.758860371596,21962.810607996467,1997624
2024-04-25,21992.898382995336,22364.488075590292,21992.898382995336,22304.50825345816,2667167
2024-04-26,22362.690219414762,22416.86989702246,22140.76143460574,22278.8156658141,1480362
2024-04-29,22211.912605506514,22282.195761553518,22073.221293717237,22177.70852763538,1762492
2024-04-30,22216.44196611825,22216.44196611825,21978.95218632287,22096.82823519246,1688138
2024-05-01,22150.50247940206,22354.84077302504,22150.50247940206,22263.196922740583,2007758
2024-05-02,22220.40354866737,22689.98684308796,22079.932827846107,22384.959835467034,1837739
2024-05-03,22426.710797875585,22757.059594687384,22288.323619658127,22522.691607172757,1894204
